SUBSTATION,LAT,LNG,formatted_address,SUBSTATIONnum
ABUBOT,14.3386471,120.9369394,"Daang Radyal Blg. 2, Dasmariñas, Cavite, Philippines",Substation 1
AMADEO,14.1965188,120.9354607,"Crisanto M. De Los Reyes Ave, Amadeo, Cavite, Philippines",Substation 2
ANGAT,14.922205,121.0290767,"W2CH+VJP, Angat, Bulacan, Philippines",Substation 3
AYALA,14.42787069,121.0261156,Philippines,Substation 4
BACOOR,14.4436369,120.9531374,"CXV3+F72, Meadowood Ave, Bacoor, Cavite, Philippines",Substation 5
BAGBAGUIN,14.7168907,120.9957127,"PX8W+Q74, Valenzuela, Metro Manila, Philippines",Substation 6
BALIBAGO,14.294182,121.101775,"74V2+MPC, F.Reyes, Balibago, Santa Rosa, 4026 Laguna, Philippines",Substation 7
BALINTAWAK,14.6599544,121.0122918,"MERALCO Balintawak Electric Substation, Private Rd, Balintawak, Quezon City, Metro Manila, Philippines",Substation 8
BALIWAG,14.96451,120.8985248,"XV7X+RC2, Baliuag, Bulacan, Philippines",Substation 9
BANAWE,14.6308823,121.0026464,"Banawe St, Quezon City, Metro Manila, Philippines",Substation 10
BATANGAS,13.7803706,121.0523307,"Q3J2+4WW, Diversion Road, Batangas, 4200 Batangas, Philippines",Substation 11
BF,14.46776677,121.020012,Philippines,Substation 12
BINONDO,14.5969231,120.9734456,"HXWF+Q98, Dasmariñas St, San Nicolas, Manila, Metro Manila, Philippines",Substation 13
BOCAUE,14.782796,120.937302,"856 MacArthur Hwy, Bunducan, Bocaue, 3018 Bulacan, Philippines",Substation 14
BOLBOC,13.77095504,121.0535345,Philippines,Substation 15
BOTOCAN,14.1564161,121.4849759,"5F4M+HX9, Majayjay, Laguna, Philippines",Substation 16
BRIDGETOWNE,14.5915222,121.080137,"Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila, Philippines",Substation 17
CAINTA,14.588175,121.1110966,"H4Q6+7CH, Ortigas Ave Ext, Santo Domingo, Cainta, 1900 Rizal, Philippines",Substation 18
CALAMBA,14.1849053,121.1507046,"55M2+X78, Calamba, 4027 Laguna, Philippines",Substation 19
CALAUAN,14.1681078,121.2974525,"579W+6XW, Bay - Calauan Hwy, Calauan, Laguna, Philippines",Substation 20
CALUMPIT,14.8987954,120.7745193,"VQXF+GR6, MacArthur Hwy, Calumpit, 3003 Bulacan, Philippines",Substation 21
CAMARIN,14.7612929,121.0419852,"Q26R+GQ9, Area A. Camarin, Zabarte Road, Barangay 175, Caloocan, 1500 Metro Manila, Philippines",Substation 22
CANLUBANG,14.21262,121.132264,"647J+2WR, Calamba, 4027 Laguna, Philippines",Substation 23
CARMELRAY,14.21064,121.081912,"636J+7Q3, Calamba, 4027 Laguna, Philippines",Substation 24
CBP,14.53088933,120.9796323,Philippines,Substation 25
CIP,14.17403252,121.13084,Philippines,Substation 26
CPIP-BATINO,14.2008811,121.1331781,"CPIP, Brgy. Batino, Calamba City, 4027, Laguna, Calamba, 4027 Laguna, Philippines",Substation 27
CRUZ,15.02935642,120.9356052,Philippines,Substation 28
CUBAO,14.619815,121.057925,"235 P. Tuazon Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines",Substation 29
DILA,14.1751966,121.2927582,"57GV+34C, Bay, Laguna, Philippines",Substation 30
DILIMAN,14.6617887,121.0662053,"Meralco Diliman Substation, Diliman, Quezon City, Metro Manila, Philippines",Substation 31
DOLORES,14.572594,121.1408093,"H4FR+28M, Taytay, 1920 Rizal, Philippines",Substation 32
DUHAT,14.7868406,120.9526101,"QXP3+P2Q, Bocaue, Bulacan, Philippines",Substation 33
ERMITA,14.5796557,120.9808719,"517 Antonio Flores St, Ermita, Manila, 1000 Metro Manila, Philippines",Substation 34
ETON,14.64076548,121.0428615,Philippines,Substation 35
FBGC,14.55227207,121.0592589,Philippines,Substation 36
FCIE,14.288028,120.930806,"Unnamed Road, Dasmariñas, First Cavite Industrial Estate, 7WQJ+687, Dasmariñas, Cavite, Philippines",Substation 37
FILINVEST,14.4240031,121.0365855,"1781, Filinvest Ave, Alabang, Muntinlupa, Metro Manila, Philippines",Substation 38
