SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
ABUBOT,BK 1 SN T93021,04/11/2010 0:00,14,76,47,61,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,7/27/2010 0:00,25,45,33,41,1,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,11/06/2010 0:00,10,52,29,46,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,01/05/2011 0:00,10,60,52,53,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,4/27/2011 0:00,2,81,39,49,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,7/20/2011 0:00,9,102,75,74,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,10/09/2011 0:00,9,90,57,63,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,1/16/2012 0:00,10,126,68,86,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,4/26/2012 0:00,16,167,106,130,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,7/15/2012 0:00,33,226,243,142,1,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,10/19/2012 0:00,24,222,156,175,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,01/10/2013 0:00,11,220,240,196,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,4/14/2013 0:00,53,239,258,184,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,7/14/2013 0:00,24,232,181,168,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,9/24/2013 0:00,30,283,253,218,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,01/08/2014 0:00,15,240,260,172,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,05/06/2014 0:00,0,243,293,205,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,07/04/2014 0:00,18,290,368,227,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,10/13/2014 0:00,15,267,311,230,0,14.3386471,120.9369394
ABUBOT,BK 1 SN T93021,1/15/2015 0:00,19,270,324,225,0,14.3386471,120.9369394
